role,user_id,event_id,event_name,reach,expense,budget,city,country,status,forward_ga
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b700015e,Losar,25598,$3488.66,$7863.96,Jinquan,China,false,false
user,cjanssonp@va.gov,62d3b99ffc13ae55b700015f,Ganesh Chaturthi,39118,$7628.88,$3649.13,Shazhouba,China,true,false
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b7000160,Buddha Jayanti,2916,$7023.26,$3929.36,Huangdi,China,true,false
user,mmcviey@bbc.co.uk,62d3b99ffc13ae55b7000161,Gurpurab,23046,$8861.23,$7930.09,Narok,Kenya,false,true
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b7000162,Mewar Festival,39181,$1398.68,$6613.42,Dumlan,Philippines,false,false
user,cwayte18@springer.com,62d3b99ffc13ae55b7000163,Bihu,90995,$3153.80,$2669.98,Liujiachang,China,true,true
user,mnodeso@parallels.com,62d3b99ffc13ae55b7000164,Kumbh Mela,10917,$8916.29,$6044.88,Xueshan,China,false,false
user,vtregidoi@bbc.co.uk,62d3b99ffc13ae55b7000165,Raksha Bandhan,59204,$8902.92,$7464.65,Oslo,Norway,true,true
user,vtregidoi@bbc.co.uk,62d3b99ffc13ae55b7000166,Chhath Puja,92993,$2984.69,$5542.05,Jikamshi,Nigeria,false,false
user,cwayte18@springer.com,62d3b99ffc13ae55b7000167,Buddha Jayanti,71323,$6275.91,$2358.15,Tadjoura,Djibouti,false,true
user,eagirret@senate.gov,62d3b99ffc13ae55b7000168,Christmas,93322,$6877.62,$6468.19,Cihaurbeuti,Indonesia,false,false
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b7000169,Durga Puja,54789,$9952.37,$5355.58,San Juan,Philippines,false,false
user,cwayte18@springer.com,62d3b99ffc13ae55b700016a,Easter,18226,$1950.65,$1926.00,Capulaan,Philippines,false,false
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b700016b,Gudi Padwa,2183,$3653.92,$5464.20,Tall Ḩamīs,Syria,false,true
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b700016c,Independence Day,83186,$2262.63,$8343.52,Forécariah,Guinea,true,true
user,cjanssonp@va.gov,62d3b99ffc13ae55b700016d,Durga Puja,34506,$5126.35,$4786.92,Jiujiang,China,false,false
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b700016e,Thrissur Pooram,44124,$8412.69,$6159.72,Xinqiao,China,false,true
user,eblaney14@berkeley.edu,62d3b99ffc13ae55b700016f,Kumbh Mela,33325,$4567.94,$5686.14,Pondokdalem,Indonesia,false,false
user,ogunney4@scientificamerican.com,62d3b99ffc13ae55b7000170,Chhath Puja,41376,$2905.02,$4629.36,Pajung,Indonesia,true,true
user,geayres11@alibaba.com,62d3b99ffc13ae55b7000171,Eid-Ul-Fitr,35767,$9520.07,$3919.89,Gorna Oryakhovitsa,Bulgaria,true,false
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b7000172,Losar,83817,$7406.22,$6129.93,Taypano,Philippines,false,true
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b7000173,Maha Shivratri,39505,$5922.11,$8087.03,Bugana,Nigeria,true,false
user,cwayte18@springer.com,62d3b99ffc13ae55b7000174,Onam,23403,$8173.11,$9283.61,Xiaoling,China,false,true
user,mmcviey@bbc.co.uk,62d3b99ffc13ae55b7000175,Baisakhi,94538,$9444.34,$6550.10,Floriano,Brazil,true,false
user,odumbleton12@infoseek.co.jp,62d3b99ffc13ae55b7000176,Christmas,43877,$8439.19,$1246.43,Isojoki,Finland,true,false
user,vtregidoi@bbc.co.uk,62d3b99ffc13ae55b7000177,Thrissur Pooram,46623,$5237.73,$1840.80,Notsé,Togo,true,false
user,eblaney14@berkeley.edu,62d3b99ffc13ae55b7000178,Raksha Bandhan,3611,$6125.91,$3574.26,Junik,Kosovo,false,true
user,geayres11@alibaba.com,62d3b99ffc13ae55b7000179,Durga Puja,50818,$2721.22,$2882.78,Zhuangta,China,false,false
user,cwayte18@springer.com,62d3b99ffc13ae55b700017a,Diwali,64517,$2989.40,$3273.44,Sucha,Poland,false,false
user,eagirret@senate.gov,62d3b99ffc13ae55b700017b,Diwali,49301,$2733.39,$2934.42,Matalam,Philippines,true,true
user,vtregidoi@bbc.co.uk,62d3b99ffc13ae55b700017c,Ratha Yatra,86013,$5043.08,$3371.82,Paritjunus,Indonesia,false,true
user,eblaney14@berkeley.edu,62d3b99ffc13ae55b700017d,Onam,20134,$3994.40,$8570.25,Timbó,Brazil,true,false
user,ogunney4@scientificamerican.com,62d3b99ffc13ae55b700017e,Ugadi,68544,$7767.97,$6115.34,Abaeté,Brazil,false,true
user,oskehane@ovh.net,62d3b99ffc13ae55b700017f,Buddha Jayanti,64407,$5197.83,$5247.43,Neẖalim,Israel,true,true
user,eagirret@senate.gov,62d3b99ffc13ae55b7000180,Basant Panchami,67735,$4598.33,$5455.98,Negreiros,Portugal,false,false
user,ogunney4@scientificamerican.com,62d3b99ffc13ae55b7000181,Durga Puja,94801,$8867.57,$2607.27,Bernardo Larroudé,Argentina,false,true
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b7000182,Mewar Festival,18879,$6246.64,$7508.36,Lenakapa,Indonesia,false,true
user,oskehane@ovh.net,62d3b99ffc13ae55b7000183,Ugadi,51663,$7184.92,$6395.63,"Palmas De Gran Canaria, Las",Spain,false,false
user,cwayte18@springer.com,62d3b99ffc13ae55b7000184,Gudi Padwa,75267,$1817.82,$6669.35,San Jose,Philippines,true,false
user,ybrettel5@youku.com,62d3b99ffc13ae55b7000185,Navratri,85181,$6471.67,$4434.93,Steinkjer,Norway,false,true
user,ybrettel5@youku.com,62d3b99ffc13ae55b7000186,Makar Sankranti,46754,$4951.78,$2815.34,Ondangwa,Namibia,false,true
user,oskehane@ovh.net,62d3b99ffc13ae55b7000187,Onam,99554,$7727.16,$6516.53,Icó,Brazil,false,true
user,mnodeso@parallels.com,62d3b99ffc13ae55b7000188,Ugadi,37793,$1012.44,$3412.52,Kamenka,Russia,false,true
user,vtregidoi@bbc.co.uk,62d3b99ffc13ae55b7000189,Krishna Janmashtami,63304,$6312.83,$5670.33,Taiping,Malaysia,false,false
user,eblaney14@berkeley.edu,62d3b99ffc13ae55b700018a,Govardhan Puja,54453,$4919.10,$6894.63,Semënov,Russia,false,true
user,geayres11@alibaba.com,62d3b99ffc13ae55b700018b,Camel Festival,28207,$8851.36,$2142.37,Mīāndoāb,Iran,false,false
user,odumbleton12@infoseek.co.jp,62d3b99ffc13ae55b700018c,Republic Day,78500,$4734.06,$9419.88,Uychi,Uzbekistan,true,false
user,mmcviey@bbc.co.uk,62d3b99ffc13ae55b700018d,Republic Day,61656,$3811.12,$2659.07,Báguanos,Cuba,false,false
user,mnodeso@parallels.com,62d3b99ffc13ae55b700018e,Diwali,37640,$1927.57,$3647.96,Huangtan,China,true,true
user,vtregidoi@bbc.co.uk,62d3b99ffc13ae55b700018f,Buddha Jayanti,82350,$5164.43,$7097.24,Ganja,Azerbaijan,true,false
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b7000190,Makar Sankranti,81081,$6946.74,$9550.26,Tongzi,China,true,false
user,eagirret@senate.gov,62d3b99ffc13ae55b7000191,Losar,21259,$8637.90,$5425.77,Coari,Brazil,false,false
user,oskehane@ovh.net,62d3b99ffc13ae55b7000192,Pongal,34773,$3390.39,$4522.41,Haolibao,China,true,false
user,ybrettel5@youku.com,62d3b99ffc13ae55b7000193,Onam,46698,$1264.61,$6989.78,Chenzhouzhai,China,true,true
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b7000194,Basant Panchami,80894,$4858.86,$3403.89,Toyama-shi,Japan,true,true
user,cjanssonp@va.gov,62d3b99ffc13ae55b7000195,Hemis,18461,$5271.68,$2850.48,Floresta,Brazil,true,true
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b7000196,Kumbh Mela,27605,$1945.01,$5043.98,Amberd,Armenia,false,true
user,cwayte18@springer.com,62d3b99ffc13ae55b7000197,Durga Puja,3302,$9229.08,$2019.67,Kozelets’,Ukraine,false,false
user,eagirret@senate.gov,62d3b99ffc13ae55b7000198,Diwali,35825,$3976.99,$8710.57,Rancakole,Indonesia,true,true
user,eagirret@senate.gov,62d3b99ffc13ae55b7000199,Chhath Puja,10212,$6333.44,$6909.92,Deneysville,South Africa,true,false
user,ybrettel5@youku.com,62d3b99ffc13ae55b700019a,Navratri,15959,$8624.98,$5930.94,Rancharia,Brazil,true,false
user,mmcviey@bbc.co.uk,62d3b99ffc13ae55b700019b,Camel Festival,85180,$9124.66,$6664.56,Wangping,China,true,true
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b700019c,Mahavir Jayanti,94778,$9936.68,$6483.43,Rosario,Argentina,false,true
user,ybrettel5@youku.com,62d3b99ffc13ae55b700019d,Raksha Bandhan,64239,$8852.91,$1919.74,Mekarsari,Indonesia,false,false
user,ybrettel5@youku.com,62d3b99ffc13ae55b700019e,Eid-Ul-Fitr,21660,$1505.09,$9986.76,Monte da Chaminé,Portugal,true,true
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b700019f,Eid-Ul-Fitr,16930,$8992.64,$4697.75,Kumba,Cameroon,true,false
user,cwayte18@springer.com,62d3b99ffc13ae55b70001a0,Losar,79171,$1649.09,$9062.01,Gaoling,China,false,true
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b70001a1,Raksha Bandhan,87848,$9747.31,$8262.06,Xialaba,China,false,true
user,odumbleton12@infoseek.co.jp,62d3b99ffc13ae55b70001a2,Bihu,76631,$5206.55,$7589.94,Montpellier,France,true,true
user,mnodeso@parallels.com,62d3b99ffc13ae55b70001a3,Diwali,39715,$9377.43,$5577.79,Yangiyŭl,Uzbekistan,true,false
user,oskehane@ovh.net,62d3b99ffc13ae55b70001a4,Diwali,58678,$2620.18,$8938.29,Åby,Sweden,false,true
user,ogunney4@scientificamerican.com,62d3b99ffc13ae55b70001a5,Basant Panchami,83384,$3819.32,$5677.76,New York City,United States,false,true
user,oskehane@ovh.net,62d3b99ffc13ae55b70001a6,Easter,91693,$6219.08,$7651.09,Ruihong,China,true,false
user,geayres11@alibaba.com,62d3b99ffc13ae55b70001a7,Diwali,6631,$8991.44,$5070.93,Cruz de Pau,Portugal,true,true
user,mnodeso@parallels.com,62d3b99ffc13ae55b70001a8,Gurpurab,52362,$3933.96,$5038.92,Lirang,China,true,false
user,cjanssonp@va.gov,62d3b99ffc13ae55b70001a9,Easter,40442,$4757.83,$3989.57,Hiji,Japan,false,true
user,cjanssonp@va.gov,62d3b99ffc13ae55b70001aa,Diwali,70338,$5861.46,$9568.23,Huangjinjing,China,false,true
user,eblaney14@berkeley.edu,62d3b99ffc13ae55b70001ab,Makar Sankranti,37316,$7438.14,$9357.81,Potok Złoty,Poland,true,true
user,oskehane@ovh.net,62d3b99ffc13ae55b70001ac,Makar Sankranti,94396,$7983.45,$3057.26,Krajan Menggare,Indonesia,true,false
user,ybrettel5@youku.com,62d3b99ffc13ae55b70001ad,Basant Panchami,53811,$8481.59,$8666.27,Sandaoba,China,false,true
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b70001ae,Ganesh Chaturthi,91504,$4392.96,$1863.38,Xilong,China,false,false
user,eblaney14@berkeley.edu,62d3b99ffc13ae55b70001af,Gudi Padwa,14787,$4840.44,$6070.68,Shibirghān,Afghanistan,true,true
user,mnodeso@parallels.com,62d3b99ffc13ae55b70001b0,Govardhan Puja,73763,$3679.49,$3224.43,Kampungbaru,Indonesia,true,true
user,eagirret@senate.gov,62d3b9a0fc13ae55b70001b1,Ganesh Chaturthi,94246,$4747.07,$3463.73,Águas de Lindóia,Brazil,true,true
user,gwehnerr6@sciencedaily.com,62d3b9a0fc13ae55b70001b2,Krishna Janmashtami,54809,$5512.02,$3202.74,Woodstock,Canada,true,false
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001b3,Easter,76027,$4427.11,$3460.16,Kiiminki,Finland,false,false
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001b4,Diwali,31413,$8614.45,$2749.46,Budënnovsk,Russia,true,true
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b70001b5,Baisakhi,90047,$3495.26,$6431.93,Ibiúna,Brazil,true,true
user,gwehnerr6@sciencedaily.com,62d3b9a0fc13ae55b70001b6,Ugadi,63558,$3077.40,$8366.72,Strzelin,Poland,false,false
user,eblaney14@berkeley.edu,62d3b9a0fc13ae55b70001b7,Onam,13841,$5982.38,$5775.44,Shuangquan,China,false,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b70001b8,Makar Sankranti,85754,$2291.90,$3889.84,Minuwangoda,Sri Lanka,false,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001b9,Christmas,82189,$1406.91,$7255.52,Matai,Tanzania,false,false
user,mmcviey@bbc.co.uk,62d3b9a0fc13ae55b70001ba,Basant Panchami,75524,$4989.46,$2625.87,Wohyń,Poland,false,false
user,gwehnerr6@sciencedaily.com,62d3b9a0fc13ae55b70001bb,Bihu,31538,$4435.48,$8674.39,Неготино,Macedonia,false,true
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001bc,Independence Day,14517,$6670.47,$8599.04,Tsementnozavodskiy,Russia,false,false
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001bd,Mahavir Jayanti,34813,$4759.20,$9856.90,Juazeiro do Norte,Brazil,true,false
user,cwayte18@springer.com,62d3b9a0fc13ae55b70001be,Thrissur Pooram,76087,$1577.74,$8058.75,Putou,China,true,false
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b70001bf,Mewar Festival,62147,$8069.49,$8170.53,Tobi Village,Palau,false,true
user,ybrettel5@youku.com,62d3b9a0fc13ae55b70001c0,Holi,89375,$6065.65,$8850.37,Gò Dầu,Vietnam,true,true
user,eblaney14@berkeley.edu,62d3b9a0fc13ae55b70001c1,Bihu,23693,$9826.27,$4394.26,Urus-Martan,Russia,false,false
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001c2,Gurpurab,60094,$6171.62,$5847.97,Huangpo,China,true,true
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001c3,Eid-Ul-Fitr,26545,$2554.36,$7882.48,Bordeaux,France,false,true
user,cjanssonp@va.gov,62d3b9a0fc13ae55b70001c4,Eid-Ul-Fitr,92011,$8357.82,$6431.45,Blachownia,Poland,true,true
user,vtregidoi@bbc.co.uk,62d3b9a0fc13ae55b70001c5,Losar,69802,$1764.96,$6174.48,Tullinge,Sweden,true,false
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001c6,Ugadi,21457,$2616.42,$9030.04,Hechuan,China,true,false
user,vtregidoi@bbc.co.uk,62d3b9a0fc13ae55b70001c7,Bihu,34458,$2629.64,$4787.68,Zákupy,Czech Republic,true,true
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001c8,Durga Puja,30972,$9067.09,$4754.26,Novhorod-Sivers’kyy,Ukraine,true,true
user,mnodeso@parallels.com,62d3b9a0fc13ae55b70001c9,Onam,89099,$1088.77,$8614.32,Buenavista,Colombia,true,true
user,vtregidoi@bbc.co.uk,62d3b9a0fc13ae55b70001ca,Govardhan Puja,21643,$8103.24,$5311.26,Gävle,Sweden,false,true
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b70001cb,Ganesh Chaturthi,67133,$8120.36,$4957.27,Maoqitun,China,true,true
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001cc,Independence Day,96682,$2446.10,$8303.45,Dengfang,China,false,false
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001cd,Krishna Janmashtami,94424,$2405.09,$4987.88,Taha Man Zu,China,true,true
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001ce,Mahavir Jayanti,19341,$8415.63,$7206.96,Rixi,China,true,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b70001cf,Ratha Yatra,93706,$3757.50,$7126.00,Quintão,Portugal,false,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b70001d0,Ugadi,22751,$7226.79,$8558.05,Zelenodolsk,Russia,true,true
user,odumbleton12@infoseek.co.jp,62d3b9a0fc13ae55b70001d1,Dussehra,53557,$9697.35,$6166.15,Wenquan,China,true,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b70001d2,Holi,98841,$4510.53,$8316.26,Ordos,China,true,false
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b70001d3,Mahavir Jayanti,89051,$3138.73,$4266.32,Capacho Nuevo,Venezuela,false,false
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001d4,Gurpurab,57608,$3712.65,$3356.16,Gēdo,Ethiopia,true,true
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001d5,Navratri,83455,$3389.62,$4032.02,Halong,Indonesia,false,true
user,mnodeso@parallels.com,62d3b9a0fc13ae55b70001d6,Diwali,31164,$2245.65,$7376.63,Piquillín,Argentina,false,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001d7,Christmas,92602,$2966.70,$3359.71,Duanshen,China,true,false
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001d8,Mewar Festival,40040,$1686.35,$7195.53,Litian,China,false,false
user,gwehnerr6@sciencedaily.com,62d3b9a0fc13ae55b70001d9,Krishna Janmashtami,63108,$2242.09,$6724.59,Bella Vista,Dominican Republic,false,false
user,vtregidoi@bbc.co.uk,62d3b9a0fc13ae55b70001da,Hornbill Festival,57265,$3477.93,$9424.77,Frashër,Albania,false,false
user,eagirret@senate.gov,62d3b9a0fc13ae55b70001db,Ugadi,70612,$3238.39,$6759.47,Cabaiguán,Cuba,false,false
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001dc,Bihu,46374,$3856.99,$6486.41,Gandara,Philippines,false,false
user,mnodeso@parallels.com,62d3b9a0fc13ae55b70001dd,Pongal,98386,$3977.49,$6991.61,Yanggu,South Korea,false,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001de,Hornbill Festival,61497,$7674.41,$1286.59,Ed,Sweden,true,false
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b70001df,Durga Puja,45646,$1141.83,$8028.29,Kudang,Indonesia,true,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001e0,Camel Festival,68111,$9240.74,$7820.80,Jilma,Tunisia,false,true
user,vtregidoi@bbc.co.uk,62d3b9a0fc13ae55b70001e1,Maha Shivratri,80258,$4650.32,$3142.79,Radostowice,Poland,false,true
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001e2,Gurpurab,35122,$7292.50,$6552.25,Arras,France,false,true
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001e3,Basant Panchami,7723,$1524.89,$2688.41,Grängesberg,Sweden,true,false
user,ybrettel5@youku.com,62d3b9a0fc13ae55b70001e4,Republic Day,60348,$5001.16,$9707.32,Shalamzār,Iran,false,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001e5,Mewar Festival,45831,$8081.27,$7203.02,Ciudad Choluteca,Honduras,true,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b70001e6,Camel Festival,34524,$9725.63,$7644.51,Samajie Ewenkeminzu,China,true,false
user,mmcviey@bbc.co.uk,62d3b9a0fc13ae55b70001e7,Krishna Janmashtami,44213,$9785.27,$4490.83,Pico Truncado,Argentina,false,true
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001e8,Mahavir Jayanti,94776,$9750.25,$9874.34,Alaverdi,Armenia,false,true
user,mmcviey@bbc.co.uk,62d3b9a0fc13ae55b70001e9,Holi,20501,$3460.75,$3947.53,El Paso,United States,false,false
user,cwayte18@springer.com,62d3b9a0fc13ae55b70001ea,Hornbill Festival,6678,$1443.04,$9013.67,Yingjiang,China,true,true
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001eb,Independence Day,77415,$2539.70,$1444.23,Ledeunu,Indonesia,false,true
user,cwayte18@springer.com,62d3b9a0fc13ae55b70001ec,Dree Festival,81820,$9346.26,$6416.63,Armenia,Colombia,false,false
user,cwayte18@springer.com,62d3b9a0fc13ae55b70001ed,Onam,75443,$4207.41,$2568.42,Egvekinot,Russia,true,false
user,mmcviey@bbc.co.uk,62d3b9a0fc13ae55b70001ee,Eid-Ul-Fitr,58371,$6675.21,$3865.01,Mastaiciai,Lithuania,true,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b70001ef,Republic Day,76788,$9469.72,$3072.70,Wohyń,Poland,true,true
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b70001f0,Eid-Ul-Fitr,4074,$4871.15,$4525.92,Pajo,Philippines,false,true
user,ybrettel5@youku.com,62d3b9a0fc13ae55b70001f1,Durga Puja,15093,$4400.93,$3111.89,Siborong-borong,Indonesia,true,true
user,gwehnerr6@sciencedaily.com,62d3b9a0fc13ae55b70001f2,Govardhan Puja,80550,$3764.42,$2435.45,Zhongxing,China,false,true
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b70001f3,Kumbh Mela,54020,$6199.67,$1353.46,Svetlyy Yar,Russia,false,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001f4,Easter,10245,$4358.34,$2280.55,Dresi Wetan,Indonesia,true,false
user,gwehnerr6@sciencedaily.com,62d3b9a0fc13ae55b70001f5,Maha Shivratri,57747,$1243.00,$2810.12,Kalývia,Greece,true,false
user,oskehane@ovh.net,62d3b9a0fc13ae55b70001f6,Ratha Yatra,87224,$9120.31,$2160.62,Rízoma,Greece,true,false
user,odumbleton12@infoseek.co.jp,62d3b9a0fc13ae55b70001f7,Eid-Ul-Fitr,42536,$3531.35,$5734.29,Miaofengshan,China,false,true
user,ybrettel5@youku.com,62d3b9a0fc13ae55b70001f8,Mahavir Jayanti,27158,$1967.20,$7526.95,Bratislava,Slovakia,false,false
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b70001f9,Independence Day,8816,$7529.90,$8170.41,San Vicente,Philippines,false,true
user,eagirret@senate.gov,62d3b9a0fc13ae55b70001fa,Hornbill Festival,7233,$3051.35,$8479.61,Kelungkung,Indonesia,false,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b70001fb,Christmas,76455,$2266.65,$2426.27,Şirvan,Azerbaijan,true,true
user,eblaney14@berkeley.edu,62d3b9a0fc13ae55b70001fc,Durga Puja,10470,$6934.15,$9754.45,Loreto,Philippines,true,true
user,mnodeso@parallels.com,62d3b9a0fc13ae55b70001fd,Durga Puja,36518,$9845.44,$1949.90,Itabaiana,Brazil,false,false
user,odumbleton12@infoseek.co.jp,62d3b9a0fc13ae55b70001fe,Losar,52430,$2383.96,$1498.22,Wunat,Indonesia,true,false
user,vtregidoi@bbc.co.uk,62d3b9a0fc13ae55b70001ff,Camel Festival,90059,$1163.48,$8546.59,Wojaszówka,Poland,true,true
user,mmcviey@bbc.co.uk,62d3b9a0fc13ae55b7000200,Eid-Ul-Fitr,59768,$6321.22,$6906.94,Surami,Georgia,false,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b7000201,Onam,44193,$2720.48,$4921.67,Machida,Japan,true,false
user,cjanssonp@va.gov,62d3b9a0fc13ae55b7000202,Independence Day,74708,$7026.45,$9516.02,Ochojno,Poland,true,true
user,odumbleton12@infoseek.co.jp,62d3b9a0fc13ae55b7000203,Republic Day,21046,$2204.13,$9316.99,Kuningan,Indonesia,true,false
user,ybrettel5@youku.com,62d3b9a0fc13ae55b7000204,Eid-Ul-Fitr,74255,$6586.47,$7526.07,Himaya,Philippines,true,false
user,hcuddyg@telegraph.co.uk,62d3b9a0fc13ae55b7000205,Gurpurab,59901,$6294.51,$9908.46,Sundbyberg,Sweden,false,false
user,geayres11@alibaba.com,62d3b9a0fc13ae55b7000206,Govardhan Puja,97892,$2969.88,$7407.62,Marcovia,Honduras,false,true
user,gwehnerr6@sciencedaily.com,62d3b9a0fc13ae55b7000207,Republic Day,75717,$2043.21,$8182.25,Nanjing,China,true,true
user,eagirret@senate.gov,62d3b9a0fc13ae55b7000208,Krishna Janmashtami,96611,$5968.24,$9617.76,Palca,Peru,true,true
user,ogunney4@scientificamerican.com,62d3b9a0fc13ae55b7000209,Christmas,49199,$8958.75,$1129.75,Kepoh,Indonesia,false,false
user,eagirret@senate.gov,62d3b9a0fc13ae55b700020a,Gudi Padwa,31551,$8833.26,$8565.54,Babakan Baru,Indonesia,false,true
user,vtregidoi@bbc.co.uk,62d3b9a0fc13ae55b700020b,Makar Sankranti,54151,$4025.09,$6210.93,Richmond,Canada,false,false
user,eblaney14@berkeley.edu,62d3b9a0fc13ae55b700020c,Buddha Jayanti,23813,$9925.09,$3941.71,Dārchulā,Nepal,true,true
